module,phase,name,code,sequence,workflow-file,command,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
core,anytime,Brainstorming,BSP,,_bmad/core/workflows/brainstorming/workflow.md,bmad-brainstorming,false,analyst,,,,,Generate diverse ideas through interactive techniques. Use early in ideation phase or when stuck generating ideas.,{output_folder}/brainstorming/brainstorming-session-{{date}}.md,
core,anytime,Party Mode,PM,,_bmad/core/workflows/party-mode/workflow.md,bmad-party-mode,false,party-mode facilitator,,,,,Orchestrate multi-agent discussions. Use when you need multiple agent perspectives or want agents to collaborate.,,
core,anytime,bmad-help,BH,,_bmad/core/tasks/help.md,bmad-help,false,,,,,,Get unstuck by showing what workflow steps come next or answering BMad Method questions.,,
core,anytime,Index Docs,ID,,_bmad/core/tasks/index-docs.xml,bmad-index-docs,false,,,,,,Create lightweight index for quick LLM scanning. Use when LLM needs to understand available docs without loading everything.,,
core,anytime,Shard Document,SD,,_bmad/core/tasks/shard-doc.xml,bmad-shard-doc,false,,,,,,Split large documents into smaller files by sections. Use when doc becomes too large (>500 lines) to manage effectively.,,
core,anytime,Editorial Review - Prose,EP,,_bmad/core/tasks/editorial-review-prose.xml,bmad-editorial-review-prose,false,,,,,,"Review prose for clarity, tone, and communication issues. Use after drafting to polish written content.",report located with target document,three-column markdown table with suggested fixes
core,anytime,Editorial Review - Structure,ES,,_bmad/core/tasks/editorial-review-structure.xml,bmad-editorial-review-structure,false,,,,,,"Propose cuts, reorganization, and simplification while preserving comprehension. Use when doc produced from multiple subprocesses or needs structural improvement.",report located with target document,
core,anytime,Adversarial Review (General),AR,,_bmad/core/tasks/review-adversarial-general.xml,bmad-review-adversarial-general,false,,,,,,"Review content critically to find issues and weaknesses. Use for quality assurance or before finalizing deliverables. Code Review in other modules run this automatically, but its useful also for document reviews",,
core,anytime,Edge Case Hunter Review,ECH,,_bmad/core/tasks/review-edge-case-hunter.xml,bmad-review-edge-case-hunter,false,,,,,,"Walk every branching path and boundary condition in code, report only unhandled edge cases. Use alongside adversarial review for orthogonal coverage - method-driven not attitude-driven.",,
gds,1-preproduction,Brainstorm Game,BG,10,_bmad/gds/workflows/1-preproduction/brainstorm-game/workflow.yaml,bmad-gds-brainstorm-game,false,game-designer,bmad:Talks like an excited streamer - enthusiastic:agent:game-designer,Samus Shepard,🎲 Game Designer,Create Mode,Facilitate game brainstorming sessions with game-specific context and techniques. Use early in ideation phase or when generating game concepts.,output_folder,brainstorming session
gds,1-preproduction,Game Brief,GB,20,_bmad/gds/workflows/1-preproduction/game-brief/workflow.yaml,bmad-gds-game-brief,false,game-designer,bmad:Talks like an excited streamer - enthusiastic:agent:game-designer,Samus Shepard,🎲 Game Designer,Create Mode,Interactive game brief creation that guides users through defining their game vision. Use when clarifying game concept and core mechanics.,output_folder,game brief
gds,2-design,Game Design Document,GDD,10,_bmad/gds/workflows/2-design/gdd/workflow.yaml,bmad-gds-gdd,false,game-designer,bmad:Talks like an excited streamer - enthusiastic:agent:game-designer,Samus Shepard,🎲 Game Designer,Create Mode,"Create a Game Design Document with mechanics, systems, progression, and implementation guidance. Use when documenting comprehensive game design specifications.",planning_artifacts,gdd
gds,2-design,Narrative Design,ND,20,_bmad/gds/workflows/2-design/narrative/workflow.yaml,bmad-gds-narrative,false,game-designer,bmad:Talks like an excited streamer - enthusiastic:agent:game-designer,Samus Shepard,🎲 Game Designer,Create Mode,"Create comprehensive narrative documentation including story structure, character arcs, and world-building. Use for story-driven games or narrative integration.",planning_artifacts,narrative design
gds,3-technical,Project Context,PC,10,_bmad/gds/workflows/3-technical/generate-project-context/workflow.md,bmad-gds-project-context,false,game-architect,bmad:Speaks like a wise sage from an RPG - calm:agent:game-architect,Cloud Dragonborn,🏛️ Game Architect,Create Mode,Create optimized project-context.md for chosen agentic tool consistency. Use when setting up new projects or improving AI coordination.,,
gds,3-technical,Game Architecture,GA,20,_bmad/gds/workflows/3-technical/game-architecture/workflow.yaml,bmad-gds-game-architecture,true,game-architect,bmad:Speaks like a wise sage from an RPG - calm:agent:game-architect,Cloud Dragonborn,🏛️ Game Architect,Create Mode,"Produce a scale-adaptive game architecture with engine, systems, networking, and technical design. Use when planning technical implementation or system architecture.",planning_artifacts,game architecture
gds,3-technical,Test Framework,TF,30,_bmad/gds/workflows/gametest/test-framework/workflow.yaml,bmad-gds-test-framework,false,game-qa,bmad:and shipping bug-free games on console:agent:game-qa,GLaDOS,🧪 Game QA Architect,Create Mode,"Initialize game test framework architecture for Unity, Unreal Engine, or Godot projects. Use when setting up automated testing infrastructure.",,
gds,3-technical,Test Design,TD,35,_bmad/gds/workflows/gametest/test-design/workflow.yaml,bmad-gds-test-design,false,game-qa,bmad:and shipping bug-free games on console:agent:game-qa,GLaDOS,🧪 Game QA Architect,Create Mode,"Create comprehensive game test scenarios covering gameplay, progression, and quality requirements. Use when planning test coverage or quality strategy.",planning_artifacts,test design
gds,4-production,Sprint Planning,SP,10,_bmad/gds/workflows/4-production/sprint-planning/workflow.yaml,bmad-gds-sprint-planning,true,game-scrum-master,bmad:- Every sprint delivers playable increments - Clean separation between design and implementation - Keep the team moving through each phase - Stories are single source of truth for implementation:agent:game-scrum-master,Max,🎯 Game Dev Scrum Master,Create Mode,Generate or update sprint-status.yaml from epic files. Use when starting development phase or planning sprints.,implementation_artifacts,sprint status
gds,4-production,Sprint Status,SS,20,_bmad/gds/workflows/4-production/sprint-status/workflow.yaml,bmad-gds-sprint-status,false,game-scrum-master,bmad:- Every sprint delivers playable increments - Clean separation between design and implementation - Keep the team moving through each phase - Stories are single source of truth for implementation:agent:game-scrum-master,Max,🎯 Game Dev Scrum Master,Create Mode,"View sprint progress, surface risks, and get next action recommendation. Use when checking sprint health or planning next steps.",,
gds,4-production,Create Story,CS,30,_bmad/gds/workflows/4-production/create-story/workflow.yaml,bmad-gds-create-story,true,game-scrum-master,bmad:- Every sprint delivers playable increments - Clean separation between design and implementation - Keep the team moving through each phase - Stories are single source of truth for implementation:agent:game-scrum-master,Max,🎯 Game Dev Scrum Master,Create Mode,Create Story with direct ready-for-dev marking. Use when preparing stories for development.,implementation_artifacts,story
gds,4-production,Dev Story,DS,40,_bmad/gds/workflows/4-production/dev-story/workflow.yaml,bmad-gds-dev-story,true,game-dev,bmad:and PC. Writes clean:agent:game-dev,Link Freeman,🕹️ Game Developer,Create Mode,Execute Dev Story workflow implementing tasks and tests. Use when developing story features and functionality.,,
gds,4-production,Code Review,CR,50,_bmad/gds/workflows/4-production/code-review/workflow.yaml,bmad-gds-code-review,false,game-dev,bmad:and PC. Writes clean:agent:game-dev,Link Freeman,🕹️ Game Developer,Create Mode,Perform thorough clean context QA code review on stories flagged Ready for Review. Use after story development for quality checks.,,
gds,4-production,Correct Course,CC,55,_bmad/gds/workflows/4-production/correct-course/workflow.yaml,bmad-gds-correct-course,false,game-scrum-master,bmad:- Every sprint delivers playable increments - Clean separation between design and implementation - Keep the team moving through each phase - Stories are single source of truth for implementation:agent:game-scrum-master,Max,🎯 Game Dev Scrum Master,Create Mode,Navigate significant changes during game dev sprint when implementation is off-track. Use when major course corrections are needed.,planning_artifacts,change proposal
gds,4-production,Retrospective,ER,60,_bmad/gds/workflows/4-production/retrospective/workflow.yaml,bmad-gds-retrospective,false,game-scrum-master,bmad:- Every sprint delivers playable increments - Clean separation between design and implementation - Keep the team moving through each phase - Stories are single source of truth for implementation:agent:game-scrum-master,Max,🎯 Game Dev Scrum Master,Create Mode,Facilitate team retrospective after a game development epic is completed. Use for continuous improvement after epic completion.,implementation_artifacts,retrospective
gds,anytime,Document Project,DP,,_bmad/gds/workflows/document-project/workflow.yaml,bmad-gds-document-project,false,tech-writer,bmad:celebrates clarity when it shines.:agent:tech-writer,Paige,📚 Technical Writer,Create Mode,Analyze an existing game project to produce useful documentation. Use when onboarding to existing projects or creating project docs.,project_knowledge,project documentation
gds,anytime,Quick Prototype,QP,,_bmad/gds/workflows/gds-quick-flow/quick-prototype/workflow.yaml,bmad-gds-quick-prototype,false,game-solo-dev,bmad:PC:agent:game-solo-dev,Indie,🎮 Game Solo Dev,Create Mode,Rapid game prototyping to test mechanics and ideas quickly. Use when experimenting with gameplay concepts or validating mechanics.,,
gds,anytime,Quick Spec,TS,,_bmad/gds/workflows/gds-quick-flow/quick-spec/workflow.yaml,bmad-gds-quick-spec,false,game-solo-dev,bmad:PC:agent:game-solo-dev,Indie,🎮 Game Solo Dev,Create Mode,"Quick one-off tasks, small changes, simple apps utilities without extensive planning. Use for straightforward game features or well-defined tasks.",planning_artifacts,tech spec
gds,anytime,Quick Dev,QD,,_bmad/gds/workflows/gds-quick-flow/quick-dev/workflow.yaml,bmad-gds-quick-dev,false,game-solo-dev,bmad:PC:agent:game-solo-dev,Indie,🎮 Game Solo Dev,Create Mode,Flexible game development with game-specific considerations. Use for rapid feature implementation or mechanics work.,,
gds,gametest,Test Automate,TA,10,_bmad/gds/workflows/gametest/automate/workflow.yaml,bmad-gds-test-automate,false,game-qa,bmad:and shipping bug-free games on console:agent:game-qa,GLaDOS,🧪 Game QA Architect,Create Mode,Generate automated game tests. Use for automated test coverage of gameplay systems.,,
gds,gametest,E2E Scaffold,ES,20,_bmad/gds/workflows/gametest/e2e-scaffold/workflow.yaml,bmad-gds-e2e-scaffold,false,game-qa,bmad:and shipping bug-free games on console:agent:game-qa,GLaDOS,🧪 Game QA Architect,Create Mode,Scaffold E2E testing infrastructure. Use when setting up end-to-end automated testing.,,
gds,gametest,Playtest Plan,PP,30,_bmad/gds/workflows/gametest/playtest-plan/workflow.yaml,bmad-gds-playtest-plan,false,game-qa,bmad:and shipping bug-free games on console:agent:game-qa,GLaDOS,🧪 Game QA Architect,Create Mode,Create structured playtesting plan. Use when planning user testing sessions or gathering player feedback.,planning_artifacts,playtest plan
gds,gametest,Performance Test,PT,40,_bmad/gds/workflows/gametest/performance/workflow.yaml,bmad-gds-performance-test,false,game-qa,bmad:and shipping bug-free games on console:agent:game-qa,GLaDOS,🧪 Game QA Architect,Create Mode,Design performance testing strategy. Use when optimizing game performance or profiling resource usage.,planning_artifacts,performance strategy
gds,gametest,Test Review,TR,50,_bmad/gds/workflows/gametest/test-review/workflow.yaml,bmad-gds-test-review,false,game-qa,bmad:and shipping bug-free games on console:agent:game-qa,GLaDOS,🧪 Game QA Architect,Create Mode,Review test quality and coverage. Use when evaluating test effectiveness or identifying coverage gaps.,,
